Tamano;Distribucion;OE_Iter1;OE_IterInterp;Tiempo_iter1(s);Tiempo_iter_interp
0;vacio;4;4;0.00000040;0.00000020
1000;uniforme;65;16;0.00000020;0.00000000
1000;uniforme;54;16;0.00000010;0.00000000
1000;uniforme;63;28;0.00000010;0.00000010
1000;uniforme;54;16;0.00000010;0.00000010
10000;uniforme;93;16;0.00000010;0.00000010
10000;uniforme;74;46;0.00000010;0.00000010
10000;uniforme;91;72;0.00000020;0.00000020
10000;uniforme;74;64;0.00000010;0.00000010
100000;uniforme;114;16;0.00000030;0.00000000
100000;uniforme;89;94;0.00000020;0.00000020
100000;uniforme;112;34;0.00000010;0.00000010
100000;uniforme;89;324;0.00000020;0.00000020
1000000;uniforme;135;16;0.00000070;0.00000010
1000000;uniforme;104;142;0.00000040;0.00000080
1000000;uniforme;9;156;0.00000010;0.00000070
1000000;uniforme;104;390;0.00000020;0.00000060
10000000;uniforme;142;16;0.00000160;0.00000010
10000000;uniforme;109;172;0.00000050;0.00000080
10000000;uniforme;9;22;0.00000000;0.00000010
10000000;uniforme;124;430;0.00000020;0.00000120
1000;gaussiana;65;16;0.00000030;0.00000010
1000;gaussiana;54;16;0.00000010;0.00000010
1000;gaussiana;63;58;0.00000010;0.00000010
1000;gaussiana;54;16;0.00000010;0.00000000
10000;gaussiana;93;16;0.00000010;0.00000010
10000;gaussiana;74;34;0.00000010;0.00000000
10000;gaussiana;91;34;0.00000010;0.00000010
10000;gaussiana;74;52;0.00000010;0.00000010
100000;gaussiana;114;16;0.00000020;0.00000010
100000;gaussiana;89;148;0.00000010;0.00000020
100000;gaussiana;112;114;0.00000020;0.00000020
100000;gaussiana;89;166;0.00000010;0.00000020
1000000;gaussiana;135;16;0.00000080;0.00000010
1000000;gaussiana;104;202;0.00000040;0.00000100
1000000;gaussiana;9;22;0.00000010;0.00000000
1000000;gaussiana;104;226;0.00000020;0.00000050
10000000;gaussiana;163;16;0.00000080;0.00000010
10000000;gaussiana;124;256;0.00000070;0.00000100
10000000;gaussiana;9;230;0.00000000;0.00000140
10000000;gaussiana;124;322;0.00000020;0.00000110
1024;exponencial;72;16;0.00000070;0.00000010
1024;exponencial;59;16;0.00000010;0.00000000
1024;exponencial;70;424;0.00000020;0.00000030
1024;exponencial;59;16;0.00000010;0.00000010
2048;exponencial;79;16;0.00000010;0.00000010
2048;exponencial;64;16;0.00000010;0.00000010
2048;exponencial;77;532;0.00000010;0.00000050
2048;exponencial;64;16;0.00000010;0.00000010
4096;exponencial;86;16;0.00000010;0.00000010
4096;exponencial;69;34;0.00000010;0.00000000
4096;exponencial;84;664;0.00000010;0.00000050
4096;exponencial;69;34;0.00000010;0.00000000
8192;exponencial;93;16;0.00000010;0.00000010
8192;exponencial;74;52;0.00000010;0.00000010
8192;exponencial;91;688;0.00000010;0.00000060
8192;exponencial;74;52;0.00000010;0.00000010
16384;exponencial;100;16;0.00000010;0.00000010
16384;exponencial;79;70;0.00000010;0.00000010
16384;exponencial;98;676;0.00000020;0.00000060
16384;exponencial;79;70;0.00000010;0.00000010
32768;exponencial;107;16;0.00000010;0.00000000
32768;exponencial;84;88;0.00000010;0.00000010
32768;exponencial;105;34;0.00000010;0.00000010
32768;exponencial;84;88;0.00000010;0.00000010
65536;exponencial;114;16;0.00000010;0.00000010
65536;exponencial;89;142;0.00000010;0.00000020
65536;exponencial;9;806;0.00000010;0.00000060
65536;exponencial;89;142;0.00000010;0.00000010
131072;exponencial;114;16;0.00000020;0.00000010
131072;exponencial;94;172;0.00000010;0.00000020
131072;exponencial;9;836;0.00000010;0.00000070
131072;exponencial;94;172;0.00000010;0.00000020
262144;exponencial;121;16;0.00000040;0.00000010
262144;exponencial;99;178;0.00000020;0.00000030
262144;exponencial;126;938;0.00000030;0.00000200
262144;exponencial;99;178;0.00000010;0.00000020
524288;exponencial;121;16;0.00000090;0.00000020
524288;exponencial;104;208;0.00000090;0.00000190
524288;exponencial;133;926;0.00000050;0.00000430
524288;exponencial;104;208;0.00000020;0.00000040
1048576;exponencial;121;16;0.00000070;0.00000010
1048576;exponencial;109;202;0.00000050;0.00000070
1048576;exponencial;9;22;0.00000010;0.00000000
1048576;exponencial;109;202;0.00000020;0.00000010
2097152;exponencial;121;16;0.00000070;0.00000000
2097152;exponencial;114;256;0.00000060;0.00000100
2097152;exponencial;9;22;0.00000000;0.00000010
2097152;exponencial;114;256;0.00000020;0.00000050
4194304;exponencial;121;16;0.00000160;0.00000000
4194304;exponencial;119;262;0.00000050;0.00000090
4194304;exponencial;9;22;0.00000010;0.00000010
4194304;exponencial;119;262;0.00000020;0.00000040
8388608;exponencial;121;16;0.00000110;0.00000010
8388608;exponencial;124;316;0.00000070;0.00000140
8388608;exponencial;9;1548;0.00000010;0.00000500
8388608;exponencial;124;280;0.00000020;0.00000070
