Tamano;Distribucion;OE_Binaria1;OE_Iter1;OE_Binaria2;OE_Iter2;OE_Interpolacion;OE_IterInterp;Tiempo_Binaria1(s);Tiempo_iter1(s);Tiempo_Binaria2(s);Tiempo_iter2(s);Tiempo_Interpolacion(s);Tiempo_iter_interp
0;vacio;1;4;1;4;7;4;0.00000070;0.00000050;0.00000010;0.00000010;0.00000030;0.00000020
1000;uniforme;70;65;92;71;19;16;0.00000020;0.00000020;0.00000020;0.00000010;0.00000010;0.00000010
1000;uniforme;78;54;102;60;19;16;0.00000020;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
1000;uniforme;70;63;92;69;40;28;0.00000010;0.00000020;0.00000020;0.00000010;0.00000010;0.00000000
1000;uniforme;81;54;101;54;7;16;0.00000010;0.00000010;0.00000010;0.00000010;0.00000000;0.00000000
5000;uniforme;94;86;122;92;19;16;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000040
5000;uniforme;102;69;132;75;64;46;0.00000020;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
5000;uniforme;94;84;122;90;43;34;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
5000;uniforme;105;69;131;69;7;46;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010;0.00000020
10000;uniforme;102;93;132;99;19;16;0.00000040;0.00000030;0.00000010;0.00000010;0.00000030;0.00000000
10000;uniforme;110;74;142;80;64;46;0.00000020;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
10000;uniforme;102;91;132;97;106;72;0.00000020;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
10000;uniforme;113;74;141;74;7;64;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000010
50000;uniforme;118;107;152;113;19;16;0.00000040;0.00000020;0.00000020;0.00000020;0.00000050;0.00000000
50000;uniforme;126;84;162;90;91;70;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000010
50000;uniforme;118;105;152;111;43;34;0.00000020;0.00000010;0.00000020;0.00000010;0.00000000;0.00000000
50000;uniforme;129;84;161;84;7;282;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000020
100000;uniforme;126;114;162;120;19;16;0.00000030;0.00000030;0.00000020;0.00000010;0.00000060;0.00000010
100000;uniforme;134;89;172;95;133;94;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000010
100000;uniforme;126;112;162;118;43;34;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000010
100000;uniforme;137;89;171;89;7;324;0.00000030;0.00000010;0.00000020;0.00000020;0.00000010;0.00000030
500000;uniforme;142;128;182;134;19;16;0.00000070;0.00000030;0.00000030;0.00000010;0.00000010;0.00000010
500000;uniforme;150;99;192;105;157;112;0.00000040;0.00000010;0.00000020;0.00000020;0.00000080;0.00000020
500000;uniforme;142;126;182;132;199;140;0.00000050;0.00000020;0.00000030;0.00000020;0.00000080;0.00000020
500000;uniforme;153;99;191;99;7;360;0.00000020;0.00000010;0.00000020;0.00000010;0.00000000;0.00000090
1000000;uniforme;150;135;192;141;19;16;0.00000080;0.00000030;0.00000030;0.00000020;0.00000010;0.00000000
1000000;uniforme;158;104;202;110;202;142;0.00000070;0.00000010;0.00000020;0.00000010;0.00000070;0.00000020
1000000;uniforme;6;9;12;15;223;156;0.00000010;0.00000000;0.00000010;0.00000010;0.00000100;0.00000020
1000000;uniforme;161;104;201;104;7;390;0.00000030;0.00000010;0.00000020;0.00000020;0.00000010;0.00000070
5000000;uniforme;158;142;222;162;19;16;0.00000090;0.00000020;0.00000030;0.00000020;0.00000010;0.00000000
5000000;uniforme;158;104;202;110;226;160;0.00000120;0.00000020;0.00000030;0.00000010;0.00000070;0.00000030
5000000;uniforme;6;9;232;127;22;22;0.00000010;0.00000000;0.00000080;0.00000010;0.00000010;0.00000010
5000000;uniforme;185;119;231;119;7;424;0.00000030;0.00000020;0.00000030;0.00000020;0.00000010;0.00000090
10000000;uniforme;158;142;232;169;19;16;0.00000080;0.00000020;0.00000030;0.00000020;0.00000020;0.00000000
10000000;uniforme;166;109;242;132;247;172;0.00000060;0.00000010;0.00000030;0.00000010;0.00000090;0.00000010
10000000;uniforme;6;9;232;129;22;22;0.00000010;0.00000000;0.00000090;0.00000020;0.00000000;0.00000000
10000000;uniforme;193;124;241;124;7;430;0.00000030;0.00000010;0.00000020;0.00000020;0.00000010;0.00000090
1000;gaussiana;70;65;92;71;19;16;0.00000030;0.00000010;0.00000010;0.00000010;0.00000010;0.00000000
1000;gaussiana;78;54;102;60;19;16;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
1000;gaussiana;70;63;92;69;82;58;0.00000030;0.00000010;0.00000010;0.00000010;0.00000020;0.00000010
1000;gaussiana;81;54;101;54;7;16;0.00000020;0.00000000;0.00000010;0.00000010;0.00000000;0.00000000
5000;gaussiana;94;86;122;92;19;16;0.00000020;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
5000;gaussiana;102;69;132;75;43;34;0.00000010;0.00000010;0.00000020;0.00000010;0.00000010;0.00000010
5000;gaussiana;94;84;122;90;187;128;0.00000020;0.00000010;0.00000020;0.00000020;0.00000010;0.00000020
5000;gaussiana;105;69;131;69;7;34;0.00000020;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
10000;gaussiana;102;93;132;99;19;16;0.00000030;0.00000040;0.00000020;0.00000010;0.00000080;0.00000000
10000;gaussiana;110;74;142;80;43;34;0.00000010;0.00000020;0.00000020;0.00000000;0.00000010;0.00000010
