Tamano;Distribucion;OE_Binaria1;OE_Binaria2;OE_Interpolacion;Tiempo_Binaria(s);Tiempo_Interpolacion(s)
20;repetidos-manual;14;42;19;0.00000030;0.00000020;0.00000020
20;repetidos-manual;6;52;40;0.00000010;0.00000010;0.00000020
20;repetidos-manual;22;32;19;0.00000010;0.00000010;0.00000010
20;repetidos-manual;41;51;7;0.00000020;0.00000010;0.00000010
100;repetidos;30;62;19;0.00000010;0.00000020;0.00000010
100;repetidos;30;72;40;0.00000010;0.00000020;0.00000010
100;repetidos;6;62;40;0.00000010;0.00000020;0.00000000
100;repetidos;22;32;19;0.00000010;0.00000000;0.00000010
100;repetidos;57;71;7;0.00000020;0.00000020;0.00000010
1000;repetidos;30;92;19;0.00000020;0.00000010;0.00000010
1000;repetidos;30;92;19;0.00000000;0.00000020;0.00000010
1000;repetidos;30;102;19;0.00000000;0.00000020;0.00000010
1000;repetidos;81;101;7;0.00000010;0.00000010;0.00000000
10000;repetidos;30;132;19;0.00000010;0.00000010;0.00000010
10000;repetidos;6;132;19;0.00000010;0.00000020;0.00000000
10000;repetidos;30;112;19;0.00000000;0.00000020;0.00000000
10000;repetidos;30;112;19;0.00000010;0.00000010;0.00000010
10000;repetidos;113;141;7;0.00000020;0.00000010;0.00000000
0;vacío;1;1;7;0.00000010;0.00000010;0.00000010
1000;uniforme;70;92;19;0.00000010;0.00000020;0.00000010
1000;uniforme;54;102;61;0.00000010;0.00000020;0.00000020
1000;uniforme;70;92;40;0.00000010;0.00000020;0.00000010
1000;uniforme;70;102;19;0.00000020;0.00000010;0.00000000
1000;uniforme;78;102;19;0.00000020;0.00000010;0.00000010
1000;uniforme;81;101;7;0.00000020;0.00000010;0.00000010
2000;uniforme;78;102;19;0.00000010;0.00000020;0.00000010
2000;uniforme;78;112;40;0.00000010;0.00000020;0.00000000
2000;uniforme;78;102;124;0.00000010;0.00000010;0.00000010
2000;uniforme;70;112;61;0.00000010;0.00000010;0.00000010
2000;uniforme;86;112;19;0.00000010;0.00000010;0.00000000
2000;uniforme;89;111;7;0.00000010;0.00000020;0.00000010
3000;uniforme;86;112;19;0.00000020;0.00000010;0.00000010
3000;uniforme;70;92;40;0.00000020;0.00000010;0.00000010
3000;uniforme;86;112;82;0.00000010;0.00000010;0.00000010
3000;uniforme;70;92;61;0.00000010;0.00000020;0.00000010
3000;uniforme;94;122;43;0.00000010;0.00000010;0.00000010
3000;uniforme;97;121;7;0.00000020;0.00000010;0.00000010
4000;uniforme;86;112;19;0.00000020;0.00000010;0.00000010
4000;uniforme;78;102;82;0.00000010;0.00000020;0.00000020
4000;uniforme;70;92;40;0.00000010;0.00000020;0.00000010
4000;uniforme;86;112;61;0.00000010;0.00000010;0.00000010
4000;uniforme;94;122;43;0.00000010;0.00000010;0.00000000
4000;uniforme;97;121;7;0.00000010;0.00000020;0.00000000
5000;uniforme;94;122;19;0.00000010;0.00000020;0.00000010
5000;uniforme;86;112;40;0.00000010;0.00000020;0.00000000
5000;uniforme;94;122;82;0.00000020;0.00000020;0.00000010
5000;uniforme;94;122;43;0.00000010;0.00000020;0.00000010
5000;uniforme;102;132;64;0.00000020;0.00000010;0.00000000
5000;uniforme;105;131;7;0.00000010;0.00000020;0.00000000
10000;uniforme;102;132;19;0.00000020;0.00000020;0.00000010
10000;uniforme;70;92;40;0.00000010;0.00000020;0.00000010
10000;uniforme;102;132;106;0.00000010;0.00000020;0.00000010
10000;uniforme;102;132;148;0.00000020;0.00000020;0.00000020
10000;uniforme;110;142;64;0.00000010;0.00000010;0.00000010
10000;uniforme;113;141;7;0.00000020;0.00000010;0.00000000
20000;uniforme;110;142;19;0.00000020;0.00000020;0.00000000
20000;uniforme;102;132;61;0.00000010;0.00000010;0.00000010
20000;uniforme;110;142;130;0.00000020;0.00000010;0.00000020
20000;uniforme;102;132;151;0.00000010;0.00000020;0.00000010
20000;uniforme;118;152;88;0.00000020;0.00000010;0.00000010
20000;uniforme;121;151;7;0.00000020;0.00000020;0.00000010
30000;uniforme;110;142;19;0.00000030;0.00000020;0.00000010
30000;uniforme;110;152;61;0.00000020;0.00000020;0.00000010
30000;uniforme;110;142;151;0.00000020;0.00000010;0.00000020
30000;uniforme;110;152;85;0.00000020;0.00000020;0.00000010
30000;uniforme;118;152;67;0.00000010;0.00000020;0.00000010
30000;uniforme;121;151;7;0.00000020;0.00000020;0.00000010
40000;uniforme;118;152;19;0.00000020;0.00000020;0.00000010
40000;uniforme;110;152;40;0.00000020;0.00000020;0.00000010
40000;uniforme;118;152;43;0.00000010;0.00000020;0.00000010
40000;uniforme;110;142;127;0.00000020;0.00000010;0.00000020
40000;uniforme;126;162;109;0.00000020;0.00000020;0.00000030
40000;uniforme;129;161;7;0.00000020;0.00000020;0.00000000
50000;uniforme;118;152;19;0.00000040;0.00000020;0.00000020
50000;uniforme;110;162;82;0.00000020;0.00000020;0.00000020
50000;uniforme;118;152;112;0.00000010;0.00000020;0.00000020
50000;uniforme;118;152;43;0.00000020;0.00000020;0.00000010
50000;uniforme;126;162;91;0.00000020;0.00000020;0.00000020
50000;uniforme;129;161;7;0.00000020;0.00000020;0.00000010
1000;gaussiana;70;92;19;0.00000020;0.00000010;0.00000000
1000;gaussiana;62;102;82;0.00000020;0.00000010;0.00000010
1000;gaussiana;70;92;82;0.00000010;0.00000020;0.00000010
